Rows,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
1,2020,Data Scientist,MI,FT,6352272,DE,DE,L,0
2,2020,Machine Learning Scientist,SE,FT,20688070,JP,JP,S,0
3,2020,Big Data Engineer,SE,FT,8674985,GB,GB,M,50
4,2020,Product Data Analyst,MI,FT,1591390,HN,HN,S,0
5,2020,Machine Learning Engineer,SE,FT,11935425,US,US,L,50
6,2020,Data Analyst,EN,FT,5729004,US,US,L,100
7,2020,Lead Data Scientist,SE,FT,15118205,US,US,S,100
8,2020,Data Scientist,MI,FT,2843416,HU,HU,L,50
9,2020,Business Data Analyst,MI,FT,10741883,US,US,L,100
10,2020,Lead Data Engineer,SE,FT,9946188,NZ,NZ,S,50
11,2020,Data Scientist,EN,FT,4083586,FR,FR,S,0
12,2020,Data Scientist,MI,FT,3221053,IN,IN,L,0
13,2020,Data Scientist,EN,FT,3176096,FR,FR,M,0
14,2020,Lead Data Analyst,MI,FT,6922547,US,US,L,100
15,2020,Data Analyst,MI,FT,6763408,US,US,L,100
16,2020,Data Analyst,MI,FT,636556,PK,PK,L,50
17,2020,Data Engineer,EN,FT,3317173,JP,JP,S,100
18,2020,Big Data Engineer,SE,FT,9074663,PL,GB,S,100
19,2020,Data Science Consultant,EN,FT,454103,IN,IN,M,50
20,2020,Lead Data Engineer,MI,FT,4455892,PT,US,M,100
21,2020,Machine Learning Engineer,MI,FT,3447826,CN,CN,M,0
22,2020,Product Data Analyst,MI,FT,483146,IN,IN,L,100
23,2020,Data Engineer,SE,FT,3811299,GR,GR,L,50
24,2020,BI Data Analyst,MI,FT,7797811,US,US,M,0
25,2020,Lead Data Scientist,MI,FT,9150493,AE,AE,L,0
26,2020,Director of Data Science,EX,FT,25860088,US,US,L,100
27,2020,Research Scientist,EN,FT,3341919,NL,NL,L,50
28,2020,Data Engineer,SE,FT,2666454,MX,MX,S,0
29,2020,Business Data Analyst,EN,CT,7956950,US,US,L,100
30,2020,Machine Learning Manager,SE,FT,9317907,CA,CA,L,50
31,2020,Data Engineering Manager,MI,FT,4718710,DE,DE,S,100
32,2020,Big Data Engineer,EN,FT,5569865,US,US,L,100
33,2020,Data Scientist,SE,FT,5444782,GR,US,L,100
34,2020,Research Scientist,MI,FT,35806275,US,US,M,0
35,2020,Data Analyst,MI,FT,3720590,FR,FR,L,50
